ID, STAR, PERIOD, V_INTMEAN, BV_INTMEAN, EBV, V_AMPL, MV
164.0, V342 Cas, 3.919890, 12.034, 1.287, 0.725, 0.504, -2.92
165.0, V379 Cas, 4.305750, 9.053, nan, nan, 0.349, -3.50
166.0, V395 Cas, 4.037771, 10.717, 1.146, 0.601, 0.560, -2.96
167.0, V407 Cas, 4.584553, 11.996, 1.340, 0.759, 0.461, -3.12
168.0, V636 Cas, 8.377000, 7.199, 1.365, 0.700, 0.188, -3.88
169.0, V Cen, 5.493861, 6.836, 0.875, 0.289, 0.804, -3.35
170.0, TX Cen, 17.093600, 10.532, 1.691, 1.058, 1.157, -4.78
171.0, UZ Cen, 3.334340, 8.765, 0.740, 0.275, 0.802, -2.72
172.0, VW Cen, 15.036180, 10.245, 1.345, 0.448, 1.074, -4.62
173.0, XX Cen, 10.953370, 7.818, 0.983, 0.260, 0.924, -4.22
174.0, AY Cen, 5.309750, 8.830, 1.009, 0.310, 0.580, -3.31
175.0, AZ Cen, 3.211981, 8.636, 0.653, 0.160, 0.382, -3.12
176.0, BB Cen, 3.997660, 10.073, 0.953, 0.396, 0.440, -3.40
177.0, BK Cen, 3.173887, 10.008, 0.886, 0.330, 0.632, -2.66
178.0, IU Cen, 3.319260, nan, nan, nan, nan, -2.72
179.0, IZ Cen, 5.892300, nan, nan, nan, nan, -3.44
180.0, KK Cen, 12.180300, 11.480, 1.282, 0.642, 1.010, -4.35
181.0, KN Cen, 34.029641, 9.870, 1.582, 0.788, 1.097, -5.65
182.0, LV Cen, 4.975130, nan, nan, nan, nan, -3.23
183.0, MY Cen, 3.718610, 12.080, 1.636, 1.253, 0.776, -2.86
184.0, MZ Cen, 10.353000, 11.531, 1.570, 0.913, 0.746, -4.15
185.0, OO Cen, 12.880500, 12.042, 1.844, 1.197, 0.765, -4.42
186.0, QY Cen, 17.752400, 11.762, 2.150, 1.520, 1.013, -4.83
187.0, V339 Cen, 9.466000, 8.753, 1.191, 0.428, 0.603, -4.04
188.0, V378 Cen, 6.459300, 8.460, 1.035, 0.395, 0.378, -4.02
189.0, V381 Cen, 5.078780, 7.653, 0.792, 0.205, 0.720, -3.25
190.0, V419 Cen, 5.506910, 8.186, 0.758, 0.176, 0.330, -3.81
191.0, V496 Cen, 4.424190, 9.966, 1.172, 0.568, 0.593, -3.08
191.5, V553 Cen, 2.060510, 8.457, 0.691, 0.218, 0.482, -2.11
192.0, V641 Cen, 81.000000, 10.443, 1.932, 0.978, 0.673, -6.74
193.0, V659 Cen, 5.621800, 6.598, 0.758, 0.134, 0.240, -3.38
194.0, V686 Cen, 69.300000, nan, nan, nan, nan, -6.54
195.0, V737 Cen, 7.065850, 6.719, 0.999, 0.216, 0.317, -3.67
196.0, V782 Cen 11.578000, nan, nan, nan, nan, -4.29
197.0, AK Cep, 7.232680, 11.180, 1.341, 0.704, 0.610, -3.70
198.0, CN Cep, 9.502500, 12.376, 1.853, 1.170, 0.590, -4.04
199.0, CP Cep, 17.859000, 10.590, 1.668, 0.682, 0.740, -4.84
200.0, CR Cep, 6.232964, 9.656, 1.396, 0.758, 0.364, -3.51
201.0, IR Cep, 2.114124, 7.784, 0.888, 0.434, 0.372, -2.15
202.0, IY Cep, 5.656906, 12.839, 1.507, 0.908, 0.676, -3.39
203.0, KO Cep, 4.558090, 14.127, 1.928, 1.357, 0.572, -3.11
204.0, MU Cep, 3.767820, 12.244, 1.349, 0.833, 0.690, -2.87
205.0, Del Cep, 5.366270, 3.954, 0.657, 0.092, 0.838, -3.32
206.0, AV Cir, 3.065100, 7.439, 0.910, 0.397, 0.315, -2.61
207.0, AX Cir, 5.273306, 5.880, 0.741, 0.153, 0.420, -3.30
208.0, BP Cir, 2.398400, 7.560, 0.702, 0.235, 0.337, -2.31
209.0, R Cru, 5.825750, 6.766, 0.772, 0.192, 0.794, -3.42
210.0, S Cru, 4.689596, 6.600, 0.761, 0.163, 0.690, -3.15
211.0, T Cru, 6.733200, 6.566, 0.922, 0.193, 0.498, -3.61
212.0, X Cru, 6.219970, 8.404, 1.001, 0.286, 0.591, -3.51
213.0, SU Cru, 12.847600, 9.796, 1.752, 1.000, 0.651, -4.42
214.0, SV Cru, 7.004270, 12.104, 1.345, 0.845, 0.797, -3.66
215.0, TY Cru, 4.988510, nan, nan, nan, nan, -3.23
216.0, VV Cru, 6.121150, nan, nan, nan, nan, -3.49
217.0, VW Cru, 5.265220, 9.622, 1.309, 0.675, 0.615, -3.30
218.0, VX Cru, 12.212600, 11.995, 1.575, 0.957, 0.948, -4.36
219.0, AD Cru, 6.397890, 11.051, 1.279, 0.680, 0.760, -3.54
221.0, AG Cru, 3.837254, 8.225, 0.738, 0.211, 0.852, -2.90
222.0, BG Cru, 3.342720, 5.487, 0.606, 0.053, 0.246, -3.17
224.0, X Cyg, 16.386332, 6.391, 1.130, 0.288, 0.986, -4.73
225.0, SU Cyg, 3.845492, 6.859, 0.575, 0.096, 0.766, -2.90
226.0, SZ Cyg, 15.109642, 9.432, 1.477, 0.631, 0.879, -4.63
227.0, TX Cyg, 14.708157, 9.511, 1.784, 1.181, 1.221, -4.59
228.0, VX Cyg, 20.133407, 10.069, 1.704, 0.791, 1.043, -4.99
229.0, VY Cyg, 7.856982, 9.593, 1.215, 0.652, 0.810, -3.80
230.0, VZ Cyg, 4.864453, 8.959, 0.876, 0.289, 0.674, -3.20
231.0, BZ Cyg, 10.141932, 10.213, 1.573, 0.933, 0.547, -4.12
232.0, CD Cyg, 17.073967, 8.947, 1.266, 0.514, 1.225, -4.78
233.0, DT Cyg, 2.499082, 5.774, 0.538, 0.039, 0.288, -2.80
234.0, EP Cyg, 4.318600, 12.739, 1.207, 0.686, 0.859, -3.05
235.0, EX Cyg, 4.850793, 12.980, 1.667, 1.078, 0.739, -3.19
236.0, EZ Cyg, 11.659717, 11.088, 1.434, 0.824, 0.925, -4.30
237.0, GH Cyg, 7.817930, 9.924, 1.266, 0.662, 0.806, -3.79
238.0, GI Cyg, 5.782550, 11.751, 1.456, 0.781, 0.674, -3.41
239.0, IY Cyg, 21.752570, 13.097, 1.892, 1.198, 1.419, -5.08
240.0, KX Cyg, 20.046700, 11.935, 2.364, 1.764, 1.158, -4.98
241.0, MW Cyg, 5.954586, 9.489, 1.316, 0.680,  0.719, -3.45
242.0, V347 Cyg, 8.736200, 12.480, 1.712, 1.100, 0.683, -3.93
243.0, V356 Cyg, 5.057610, 12.443, 1.402, 0.778, 0.757, -3.25
244.0, V386 Cyg, 5.257606, 9.635, 1.491, 0.895, 0.685, -3.29
245.0, V396 Cyg, 33.247000, 11.415, 2.270, 1.148, 0.878, -5.62
246.0, V402 Cyg, 4.364836, 9.873, 1.008, 0.417, 0.557, -3.06
247.0, V438 Cyg, 11.211058, 10.937, 1.946, 1.130, 1.029, -4.25
248.0, V459 Cyg, 7.251250, 10.601, 1.439, 0.798, 0.705, -3.70
249.0, V492 Cyg, 7.580170, 12.389, 1.651, 1.065, 0.534, -3.76
250.0, V495 Cyg, 6.716310, 10.621, 1.623, 1.027, 0.449, -3.60
